Rank,State Name,Area (Sq Miles)
1,Alaska,"571,951"
2,Texas,"261,797"
3,California,"155,959"
4,Montana,"145,552"
5,New Mexico,"121,356"
6,Arizona,"113,635"
7,Nevada,"109,826"
8,Colorado,"103,718"
9,Wyoming,"97,100"
10,Oregon,"95,997"
11,Idaho,"82,747"
12,Utah,"82,144"
13,Kansas,"81,815"
14,Minnesota,"79,610"
15,Nebraska,"76,872"
16,South Dakota,"75,885"
17,North Dakota,"68,976"
18,Missouri,"68,886"
19,Oklahoma,"68,667"
20,Washington,"66,544"
21,Georgia,"57,906"
22,Michigan,"56,804"
23,Iowa,"55,869"
24,Illinois,"55,584"
25,Wisconsin,"54,310"
26,Florida,"53,927"
27,Arkansas,"52,068"
28,Alabama,"50,744"
29,North Carolina,"48,711"
30,New York,"47,214"
31,Mississippi,"46,907"
32,Pennsylvania,"44,817"
33,Louisiana,"43,562"
34,Tennessee,"41,217"
35,Ohio,"40,948"
36,Kentucky,"39,728"
37,Virginia,"39,594"
38,Indiana,"35,867"
39,Maine,"30,862"
40,South Carolina,"30,109"
41,West Virginia,"24,078"
42,Maryland,"9,774"
43,Vermont,"9,250"
44,New Hampshire,"8,968"
45,Massachusetts,"7,840"
46,New Jersey,"7,417"
47,Hawaii,"6,423"
48,Connecticut,"4,845"
49,Delaware,"1,954"
50,Rhode Island,"1,045"